data_date,avg_rainfall,grid_count
2018-08-09,0.00,43
2018-08-10,0.00,43
2018-08-11,0.00,43
2018-08-12,4.43,43
2018-08-13,0.00,43
2018-08-14,27.01,43
2018-08-15,0.00,43
2018-08-16,0.04,43
2018-08-17,0.00,43
2018-08-18,2.26,43
2018-08-19,21.37,43
2018-08-20,0.00,43
2018-08-21,0.06,43
2018-08-22,6.31,43
2018-08-23,25.20,43
2018-08-24,14.46,43
2018-08-25,36.71,43
2018-08-26,10.10,43
2018-08-27,53.80,43
2018-08-28,22.13,43
2018-08-29,10.31,43
2018-08-30,0.20,43
2018-08-31,0.00,43
2018-09-01,0.00,43
2018-09-02,0.00,43
2018-09-03,0.00,43
2018-09-04,0.00,43
2018-09-05,0.00,43
2018-09-06,2.58,43
2018-09-07,7.15,43
2018-09-08,24.41,43
2018-09-09,11.04,43
2018-09-10,0.00,43
2018-09-11,0.00,43
2018-09-12,6.17,43
2018-09-13,0.00,43
2018-09-14,0.00,43
2018-09-15,0.00,43
2018-09-16,0.00,43
2018-09-17,0.00,43
2018-09-18,0.00,43
2018-09-19,0.00,43
2018-09-20,0.00,43
2018-09-21,0.00,43
2018-09-22,0.00,43
2018-09-23,0.00,43
2018-09-24,0.00,43
2018-09-25,0.12,43
2018-09-26,6.39,43
2018-09-27,11.67,43
2018-09-28,6.92,43
2018-09-29,5.60,43
2018-09-30,0.00,43
2018-10-01,0.00,43
2018-10-02,0.00,43
2018-10-03,0.00,43
2018-10-04,11.63,43
2018-10-05,0.00,43
2018-10-06,0.00,43
2018-10-07,0.00,43
2018-10-08,0.00,43
2018-10-09,0.00,43
2018-10-10,0.00,43
2018-10-11,0.00,43
2018-10-12,11.84,43
2018-10-13,0.00,43
2018-10-14,0.00,43
2018-10-15,0.00,43
2018-10-16,0.00,43
2018-10-17,8.12,43
2018-10-18,0.00,43
2018-10-19,0.82,43
2018-10-20,0.00,43
2018-10-21,0.00,43
2018-10-22,0.00,43
2018-10-23,0.29,43
2018-10-24,0.00,43
2018-10-25,0.00,43
2018-10-26,0.00,43
2018-10-27,0.00,43
2018-10-28,0.00,43
2018-10-29,0.00,43
2018-10-30,0.00,43
2018-10-31,0.37,43
2018-11-01,1.67,43
2018-11-02,0.27,43
2018-11-03,0.00,43
2018-11-04,0.00,43
2018-11-05,0.00,43
2018-11-06,0.00,43
2018-11-07,0.00,43
2018-11-08,0.00,43
2018-11-09,0.00,43
2018-11-10,0.00,43
2018-11-11,0.00,43
2018-11-12,0.00,43
2018-11-13,0.00,43
2018-11-14,0.00,43
2018-11-15,0.00,43
2018-11-16,0.00,43
2018-11-17,4.01,43
2018-11-18,1.73,43
2018-11-19,12.28,43
2018-11-20,0.00,43
2018-11-21,0.00,43
2018-11-22,0.00,43
2018-11-23,0.01,43
2018-11-24,0.00,43
2018-11-25,0.08,43
2018-11-26,2.34,43
2018-11-27,0.00,43
